Daytime_dd_mm_yyyy_hh_ss,Daynum_d,VehId,Trip,Timestamp,Latitude,Longitude,HV Battery Soc,Distance,Stop_d,Stop_hh_mm_ss
06-Nov-2017 20:34:53,6.8576,426,442,165900,42.230695556,-83.680541389,NaN,1.6057772868,0,00:00:00
06-Nov-2017 14:59:51,6.6249,441,750,0,42.254955278,-83.751275278,NaN,0,0,00:00:00
06-Nov-2017 15:07:16,6.63,441,750,444300,42.241139167,-83.739306111,NaN,3.2965625988,0.274561583288892,06:42:47
06-Nov-2017 21:42:38,6.9046,441,753,0,42.282096111,-83.765539722,NaN,0,0,00:00:00
06-Nov-2017 21:44:08,6.9057,441,753,90400,42.278270278,-83.758448611,NaN,0.97347376419,0,00:00:00
06-Nov-2017 02:42:22,6.1128,443,770,0,42.252825,-83.674441944,0,0,0,00:00:00
06-Nov-2017 02:44:41,6.1144,443,770,139000,42.255824722,-83.690249167,0,1.3456074297,0,00:00:00
06-Nov-2017 14:45:55,6.6152,449,1210,0,42.288741944,-83.765908889,99.402542114,0,0,00:00:00
06-Nov-2017 14:48:08,6.6168,449,1210,133200,42.283388333,-83.751890278,99.402542114,1.2987522563,0,00:00:00
06-Nov-2017 22:11:21,6.9246,452,582,0,42.258959722,-83.709156667,NaN,0,0,00:00:00
06-Nov-2017 22:12:55,6.9256,452,582,93700,42.253288611,-83.714149167,NaN,0.82751346971,0,00:00:00
06-Nov-2017 22:45:02,6.9479,454,711,0,42.230675,-83.680384167,NaN,0,0,00:00:00
06-Nov-2017 22:57:03,6.9563,454,711,720500,42.266018056,-83.738298333,NaN,7.9616057024,0,00:00:00
06-Nov-2017 20:42:26,6.8628,457,1065,0,42.230320556,-83.6995925,37.25491333,0,0,00:00:00
06-Nov-2017 20:55:07,6.8716,457,1065,761800,42.255059167,-83.686057778,21.176477432,4.7237982046,0,00:00:00
06-Nov-2017 23:06:11,6.9626,459,785,0,42.270258611,-83.722669444,NaN,0,0,00:00:00
06-Nov-2017 23:13:12,6.9675,459,785,421200,42.256753611,-83.696008611,NaN,3.1761620179,0,00:00:00
06-Nov-2017 16:23:36,6.6831,460,832,0,42.2420575,-83.699589167,NaN,0,0,00:00:00
06-Nov-2017 16:44:20,6.6975,460,832,1243400,42.285318056,-83.800788056,NaN,14.493956714,0,00:00:00
